id,filename,subject,building,person,date_created,creator,source,license,copyright_status,archive_reference,local_path,source_url,download_status,notes
A_CHECHULIN_PORTRAIT_1941_OGONEK,1941_chechulin_ogoniok_pd.png,Портрет Чечулина 1941 (Огонёк),,Д. Н. Чечулин,1941,Автор неизвестен,Wikimedia Commons (Огонёк № 10 1941 с.4),Public domain (PD-Russia-1996),Public domain,"prlib.ru/item/891512; goskatalog.ru 5997733",assets/people/dmitry_chechulin/originals/1941_chechulin_ogoniok_pd.png,https://upload.wikimedia.org/wikipedia/commons/d/da/Chechulin_D.N._5.png,downloaded,
A_CHECHULIN_PORTRAIT_1946_VM,1946_chechulin_vechernyaya_moskva_pd.jpg,Портрет Чечулина 1946 (Вечерняя Москва),,Д. Н. Чечулин,1946,Автор неизвестен,Wikimedia Commons (Вечерняя Москва № 34),Public domain,Public domain,electro.nekrasovka.ru/books/6163902,assets/people/dmitry_chechulin/originals/1946_chechulin_vechernyaya_moskva_pd.jpg,https://upload.wikimedia.org/wikipedia/commons/2/2c/Chechulin_D.N._6.jpg,downloaded,
A_CHECHULIN_SIGNATURE_1948,1948_chechulin_signature_pd.png,Подпись Д. Н. Чечулина 1948,,Д. Н. Чечулин,1948,Apetrov09703 (воспроизведение),Wikimedia Commons (PD-signature),Public domain,Public domain,,assets/people/dmitry_chechulin/originals/1948_chechulin_signature_pd.png,https://upload.wikimedia.org/wikipedia/commons/1/15/Sign_of_Dmitry_Chechulin_1948.png,downloaded,
A_CHECHULIN_PORTRAIT_1946_SOV_ISC,1946_chechulin_sovetskoe_iskusstvo_pd.jpg,Портрет Чечулина 1946 (Советское искусство),,Д. Н. Чечулин,1946,Автор неизвестен,Wikimedia Commons (РГАКФД 1126128),Public domain,Public domain,РГАКФД photo 1126128,assets/people/dmitry_chechulin/originals/1946_chechulin_sovetskoe_iskusstvo_pd.jpg,https://upload.wikimedia.org/wikipedia/commons/6/66/%D0%94%D0%BC%D0%B8%D1%82%D1%80%D0%B8%D0%B9_%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B5%D0%B2%D0%B8%D1%87_%D0%A7%D0%B5%D1%87%D1%83%D0%BB%D0%B8%D0%BD.jpg,downloaded,
A_IOFAN_PORTRAIT_1939,1939_iofan_arhitektura_sssr_pd.jpg,Портрет Иофана 1939,,Б. М. Иофан,1939,Автор неизвестен,Wikimedia Commons (Архитектура СССР № 10),Public domain,Public domain,electro.nekrasovka.ru/books/6235806,assets/people/boris_iofan/originals/1939_iofan_arhitektura_sssr_pd.jpg,https://upload.wikimedia.org/wikipedia/commons/7/73/Iofan_B.M._2.jpg,downloaded,
A_IOFAN_POSTAL_COVER_1990,1990_iofan_postal_cover_pd.jpg,Почтовый конверт СССР 1990 с портретом Иофана,,Б. М. Иофан,1990,Илюхин Б. С. (дизайн),Wikimedia Commons (PD-RU-exempt),Public domain (postal cover),Public domain,filpersona.ru,assets/people/boris_iofan/originals/1990_iofan_postal_cover_pd.jpg,https://upload.wikimedia.org/wikipedia/commons/a/a5/Covers_of_the_Soviet_Union%2C_1990._%D0%98%D0%BE%D1%84%D0%B0%D0%BD_%D0%91%D0%BE%D1%80%D0%B8%D1%81_%D0%9C%D0%B8%D1%85%D0%B0%D0%B9%D0%BB%D0%BE%D0%B2%D0%B8%D1%87.jpg,downloaded,
A_IOFAN_AT_WORK_1933,1933_iofan_at_work_pd.jpg,Иофан за работой 1933,,Б. М. Иофан,1933,Автор неизвестен,Wikimedia Commons (Строительство Москвы 1933 №5-6),Public domain,Public domain,Строительство Москвы 1933 №5-6 с.34,assets/people/boris_iofan/originals/1933_iofan_at_work_pd.jpg,https://upload.wikimedia.org/wikipedia/commons/8/84/Iofan_B.M._at_work.jpg,downloaded,1660x1190 — high res
A_IOFAN_PORTRAIT_1939_STRG,1939_iofan_stroitelnaya_gazeta_pd.jpg,Портрет Иофана 1939 (Строительная газета),,Б. М. Иофан,1939,Автор неизвестен,Wikimedia Commons (Строительная газета № 62),Public domain,Public domain,Строительная газета 1939 №62,assets/people/boris_iofan/originals/1939_iofan_stroitelnaya_gazeta_pd.jpg,https://upload.wikimedia.org/wikipedia/commons/5/51/Iofan_B.M.jpg,downloaded,
A_OLTARZHEVSKY_PORTRAIT_1901_1905,circa_1901_1905_oltarzhevsky_pd.jpg,Портрет Олтаржевского,,В. К. Олтаржевский,1901-1905 (circa),Автор неизвестен,Wikimedia Commons (e-reading.club),Public domain (PD-RusEmpire),Public domain,e-reading.club/1033312,assets/people/vyacheslav_oltarzhevsky/originals/circa_1901_1905_oltarzhevsky_pd.jpg,https://upload.wikimedia.org/wikipedia/commons/8/8e/Vyacheslav_Oltarzhevsky.jpg,downloaded,
A_HOTEL_UKRAINE_KYIV_2012,2012_hotel_ukraine_kyiv_kozlenko_pd.jpg,Гостиница «Украина» Киев (2012),Гостиница «Украина» (Киев),,2012-12-31,Maksym Kozlenko,Wikimedia Commons (PD-self),Public domain (PD-self),Public domain (own work),GPS 50.449111 30.525653,assets/kyiv/hotel_moscow_ukraine/originals/2012_hotel_ukraine_kyiv_kozlenko_pd.jpg,https://upload.wikimedia.org/wikipedia/commons/1/1f/Hotel_%22Ukraine%22%2C_Kyiv.jpg,downloaded,"Современное фото, не историческое"
A_HOTEL_UKRAINE_KYIV_1975_HAMMOND,1975_hotel_ukraine_construction_hammond_ccbysa4.jpg,Гостиница «Украина» Киев и строящийся монумент 1975,Гостиница «Украина» (Киев) + Монумент,,1975,Thomas Taylor Hammond,Wikimedia Commons (VRT разрешено),CC BY-SA 4.0,Copyrighted with VRT permission,"ticket 2017122010010236 (University of Virginia CREES)",assets/kyiv/hotel_moscow_ukraine/originals/1975_hotel_ukraine_construction_hammond_ccbysa4.jpg,https://upload.wikimedia.org/wikipedia/commons/4/43/Hotel_Ukraine_and_Construction_1975_Kiev.jpg,downloaded,"Историческое фото 1975 г., 10199x6599"
A_HOTEL_UKRAINE_KYIV_2008_LEVCHUK,2008_hotel_ukraine_kyiv_levchuk_ccby3.jpg,Гостиница «Украина» Киев (2008),Гостиница «Украина» (Киев),,2008-01-22,Levchuk Volodymyr (UAWeBeR),Wikimedia Commons (CC BY 3.0 + VRT 2019032810009292),CC BY 3.0,Copyrighted (author),VRT 2019032810009292 (Hotel Ukraine category),assets/kyiv/hotel_moscow_ukraine/originals/2008_hotel_ukraine_kyiv_levchuk_ccby3.jpg,https://upload.wikimedia.org/wikipedia/commons/a/a3/Ukraine-Kyiv-Chrestjatyk-Hotel_%22Ukraine%22.JPG,downloaded,"Современное фото"
A_PALACE_OF_SOVIETS_1937_MSHEET,1937_palace_of_soviets_msheet_pd.jpg,Миниатюрный лист почтовых марок 1937 с Дворцом Советов,Дворец Советов (не реализован),,1937,СССР, Wikimedia Commons (обработка KaterBegemot),Public domain (PD-RU-exempt stamps),Public domain,Миниатюрный лист 1937,assets/moscow/palace_of_soviets/originals/1937_palace_of_soviets_msheet_pd.jpg,https://upload.wikimedia.org/wikipedia/commons/b/b6/Sovietpalace_1937_msheet.jpg,downloaded,
A_PALACE_OF_SOVIETS_1940_FRAME,1940_palace_of_soviets_frame_pd.jpg,Дворец Советов 1940 — каркас,Дворец Советов (не реализован),,1940,NVO,Wikimedia Commons (Soviet Architecture 1940),Public domain (PD-Russia-1996),Public domain,Soviet Architecture 1940,assets/moscow/palace_of_soviets/originals/1940_palace_of_soviets_frame_pd.jpg,https://upload.wikimedia.org/wikipedia/commons/7/7c/Frame_of_palace_of_soviets_1940.jpg,downloaded,Реальное состояние
A_PALACE_OF_SOVIETS_1941_POSTCARD,1941_palace_of_soviets_postcard_pd.jpg,Дворец Советов — почтовая карточка СССР 1941,Дворец Советов (не реализован),,1941,Правительство СССР,Wikimedia Commons (PD-RU-exempt postal cards),Public domain (FoP-Russia),Public domain,Postal card USSR 1941,assets/moscow/palace_of_soviets/originals/1941_palace_of_soviets_postcard_pd.jpg,https://upload.wikimedia.org/wikipedia/commons/1/11/Postcard_1941_sovietpalace.jpg,downloaded,
A_PALACE_OF_SOVIETS_1932_SCHUKO,1932_schuko_palace_draft_pd.jpg,Проект Дворца Советов В. Щуко (1932),Дворец Советов (не реализован),В. Г. Щуко,1932,В. Щуко,Wikimedia Commons (Soviet Architecture 1934),Public domain (PD-Russia-1996),Public domain,Soviet Architecture magazine 1934,assets/moscow/palace_of_soviets/originals/1932_schuko_palace_draft_pd.jpg,https://upload.wikimedia.org/wikipedia/commons/6/66/Schuko_Palace_of_Soviets_1932.jpg,downloaded,"1932, второй конкурс"
A_PALACE_OF_SOVIETS_CONSTRUCTION_SKETCH,undated_palace_construction_sketch_pd.jpg,Строительный эскиз Дворца Советов,Дворец Советов (не реализован),,unknown,неизвестен,Wikimedia Commons (PD-Ukraine),Public domain (PD-Ukraine),Public domain,,assets/moscow/palace_of_soviets/originals/undated_palace_construction_sketch_pd.jpg,https://upload.wikimedia.org/wikipedia/commons/a/ae/Bauskizze_des_Palastes_der_Sowjets.jpg,downloaded,Дата неизвестна
D_BIRDINFLIGHT_SHYROCHYN_2020,metadata_only.json,Статья Широчина «Обезбашенный» 2020,,,(article),Семен Широчин,Bird in Flight,all rights reserved,Copyrighted,Bird In Flight 2020,(metadata),(metadata),metadata_only,Изображения не скачаны — права
D_MYSLENEDREVO_MOKROUSOVA,metadata_only.json,«Цементні мешканці Хрещатика» 2003,,А. В. Власов; А. Добровольский; А. Малиновский; Б. Приймак; А. Заваров,2003,Олена Мокроусова,Myslenedrevo,© 1999-2026 (передрук заохочується з гіперпосиланням),Copyrighted,"Архив АО Киевпроект спр. 1024",(metadata),(metadata),metadata_only,onlayn-доступ; дело № 1024
D_INHA_BELLAT_2023,metadata_only.json,"Bellat, «La reconstruction de Kiev sous Staline» 2023",,(article),Fabien Bellat,INHA / Histoire de l'art №91,CC BY-NC-ND 4.0,Copyrighted (CC restrictions),(INHA Paris),(metadata),(metadata),metadata_only,NC ND ограничения
D_LETOPIS_MSU_DECREE_1947,metadata_only.json,"Постановление СМ СССР №53 от 13.01.1947",,(article),(primary),letopis.msu.ru / МГУ,© Аналитическая служба МГУ 1993-2026,Copyrighted (публикация; первичный документ — общественное достояние),"Постановление 1947 г.",(metadata),(metadata),metadata_only,Прямой PDF отсутствует
D_RSL_VYSOTNYE_ZDANIYA_1951_9V,metadata_only.json,«Высотные здания в Москве. Проекты» 1951,,,(book),Академия архитектуры СССР / Институт истории и теории архитектуры,РГБ,Открытый доступ через Просмотрщик РГБ,Copyrighted (institutional),РГБ RuMoRGB,(metadata),(metadata),metadata_only,Viewer-only — не обходить
D_RSL_OLTARZHEVSKY_1953,metadata_only.json,«Строительство высотных зданий в Москве» Олтаржевского 1953,,В. К. Олтаржевский,1953,Олтаржевский В. К.,РГБ,Открытый доступ через Просмотрщик РГБ,Copyrighted (institutional),РГБ RuMoRGB,(metadata),(metadata),metadata_only,Viewer-only
A_FOND_R694_OP1_D547_ALBUM,metadata_only.json,Альбом фотографий строительства 8-й высотки в Зарядье 1949,Восьмое высотное здание в Зарядье,Д. Н. Чечулин,1949,(unknown),Главархив Москвы (ЦГА Москвы),Архивный доступ (очный),Архивный,"фонд Р-694 опись 1 дело 547",(metadata),(metadata),metadata_only,Не онлайн
A_KHRESHCHATYK_36_BIRDINFLIGHT_RECONSTRUCTION,metadata_only.json,"Реконструкция Крещатик, 36 (высотный вариант) — рисунок Анны Булавиной",Крещатик 36 (горисполком),А. В. Власов; А. И. Заваров,(modern_redrawing),Анна Булавина,Bird in Flight (Современная реконструкция),Все права защищены (Bird In Flight),Copyrighted,ЦГАВО (inferred),(metadata),(metadata),metadata_only,"modern_redrawing — не подлинный чертеж"
A_GINZBURG_SKYKRAPER_KYIV,metadata_only.json,Дом Гинзбурга (Киев),Дом Гинзбурга (Киев),Лев Гинзбург (владелец),(1910-е — 1941),(unknown),Wikimedia Commons,(не найдена категория),(uncertain),(нет архивных шифров),(metadata),(metadata),metadata_only,Категория Wikimedia не найдена
